The Bodybuilding Transformation System - Intermediate-Advanced;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;Copyright 2025 by Jeff Nippard. All rights reserved. 
;;;;;;;;;;;;;;;
"IMPORTANT PROGRAM NOTES (READ BEFORE STARTING)

● Perform a full general warm-up and exercise-specific warm-up every workout as outlined below (should only take 5-10 mins max)

● Note that for the first week of the program, most sets are taken to an RPE of ~7-9. This means you will be leaving 1-3 reps in the tank on most exercises. This only lasts for the first week (to serve as a deload/intro week). After the first week, the intensity will increase and you’ll start taking the last set of every exercise to failure.

● All working sets are broken up into Early Sets and Last Sets. The Early Sets are all the sets that come before your Last Set. Usually the Early Sets should be a little bit easier than the later sets (slightly lower RPE) whereas the Last Set is pushed to failure on all exercises (besides intro/deload weeks). See the Bodybuilding Transformation System Guidebook for a full explanation of RPE.

● Each exercise has a clickable link which demonstrates how to perform the exercise. I suggest watching each exercise demo before starting the workout.

● All other aspects of the program, including when to make an exercise substitution and how to progress through the rep ranges given is explained in the Bodybuilding Transformation System Guidebook. Give it a full read before starting your first workout! Let's crush it!!
";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
WARM UP PROTOCOL;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;General Warm-Up;;;;;;;;;;;
;;;;"Perform the following general warm-up before every workout (should take 5-10 mins max). 
You can save time by doing some of the dynamic stretches as you do warm-up sets for the first exercise.";;;;;;;;;;;
;;;;5-10 minutes;;Light cardio on machine on your choice of machine (treadmill, stairmaster, elliptical, bike, etc.);;;;;;;;;
;;;;10 reps per side;;Arm Swings;;;;;;;;;
;;;;10 reps per side;;Arm Circles;;;;;;;;;
;;;;10 reps per side;;Front-to-Back Leg Swings;;;;;;;;;
;;;;10 reps per side;;Side-to-Side Leg Swings;;;;;;;;;
;;;;15 reps per side;;Cable External Rotation (optional);;;;;;;;;
;;;;;;;;;;;;;;;
;;;;Exercise-Specific Warm-Up;;;;;;;;;;;
;;;;Perform the following exercise-specific warm-up according to the number of warm-up sets listed in the program;;;;;;;;;;;
;;;;1 Warm-Up Set Listed;;Use ~60% of your planned working weight for ~6-10 reps (or until you feel warm and loose);;;;;;;;;
;;;;2 Warm-Up Sets Listed;;"Perform a mini warm-up pyramid: 
Warm-Up Set #1 = ~50% of planned working weight for ~6-10 reps 
Warm-Up Set #2 = ~70% of planned working weight for 4-6 reps";;;;;;;;;
;;;;3 Warm-Up Sets Listed;;"Perform a full warm-up pyramid: 
Warm-Up Set #1 = ~45% of planned working weight for ~6-10 reps 
Warm-Up Set #2 = ~65% of planned working weight for 4-6 reps
Warm-Up Set #3 = ~85% of planned working weight for 3-4 reps
";;;;;;;;;
;;;;4 Warm-Up Sets Listed;;"Perform a full warm-up pyramid:
Warm-Up Set #1 = ~45% of planned working weight for ~6-10 reps
Warm-Up Set #2 = ~60% of planned working weight for 4-6 reps
Warm-Up Set #3 = ~75% of planned working weight for 3-5 reps
Warm-Up Set #4 = ~85% of planned working weight for 2-4 reps
";;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Foundation Block;;;;;;;;;;;;;;;
Week 1;Exercise;Last-Set Intensity Technique;Warm-up Sets;Working Sets;Reps;Tracking Load and Reps;;;;Early Set RPE;Last Set RPE;Rest;Substitution Option 1;Substitution Option 2;Notes
;;;;;;Set 1;Set 2;Set 3;Set 4;;;;;;
Upper (Strength Focus);45° Incline Barbell Press;N/A;2-3;2;6-8;;;;;~6-7;~7-8;3-5 min;45° Incline DB Press;45° Incline Machine Press;1 second pause at the bottom of each rep while maintaining tension on the pecs
;Cable Crossover Ladder;N/A;1-2;2;8-10;;;;;~7-8;~8-9;1-2 min;Pec Deck;Bottom-Half DB Flye;Do one set with low cable position, one set with medium-height cable position, and one height with a high cable position. If you only have one or two sets, choose the one or two cable positions you prefer.
;Wide-Grip Pull-Up;N/A;1-2;2;8-10;;;;;~6-7;~7-8;2-3 min;Wide-Grip Lat Pulldown;Dual-Handle Lat Pulldown;1.5x shoulder width overhand grip. Slow 2-3 second negative. Feel your lats pulling apart on the way down.
;High-Cable Lateral Raise;N/A;1-2;2;8-10;;;;;~7-8;~8-9;1-2 min;High-Cable Cuffed Lateral Raise;Lean-In DB Lateral Raise;Focus on squeezing your lateral delt to move the weight.
;Pendlay Deficit Row;N/A;1-2;2;6-8;;;;;~7-8;~8-9;2-3 min;Smith Machine Row;Single-Arm DB Row;Stand on a bumper plate. Focus on getting a big stretch and touch your stomach/chest on each rep! 
;Overhead Cable Triceps Extension (Bar);N/A;1;2;8-10;;;;;~7-8;~8-9;1-2 min;Overhead Cable Triceps Extension (Rope);DB Skull Crusher;Optionally pause for 0.5-1 second in the stretched aspect of each rep
;Bayesian Cable Curl;N/A;1;2;8-10;;;;;~7-8;~8-9;1-2 min;Seated Super-Bayesian High Cable Curl;Incline DB Stretch Curl;If you have a left-right bicep size imbalance, do these 1 arm at a time, starting with the weaker arm. Take the weaker arm to the listed RPE. Then match the reps with the other arm (stop once you've matched the reps, even if the RPE is lower). If you don't have a size imbalance, do these both arms at the same time.
