Program Name,Program Arthur,Program Description,Program Length,Program Level,Program Equipment,Days Per Week,Mesocycle Name,Mesocycle Description,Mesocycle Order,Microcycle Name,Microcycle Description,Microcycle Order,Workout Name,Workout Day,Workout Notes,Movement,Exercise Name,Sets,Set Type,Target Repetitions,Target Min Repetitions,Target Max Repetitions,Target Weight (lbs),Target Weight (kg),Weight Increment (lbs),Weight Increment (kg),Target RPE,Target RIR,Percentage of 1RM,Progression Scheme ID,Advanced Exercise Sets
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 1,1,,Quads,,3,,6-8,,,,,,,6,,,,
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 1,1,,Vertical Push,,3,,8-10,,,,,,,6,,,,
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 1,1,,Horizontal Row,,3,,8-10,,,,,,,6,,,,
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 1,1,,Hamstrings,,2,,8-10,,,,,,,7,,,,
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 1,1,,Quads,,2,,8-12,,,,,,,7,,,,
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 1,1,,Delts,,2,,10-14,,,,,,,7,,,,
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 1,1,,Triceps,,2,,10-14,,,,,,,7,,,,
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 1,1,,Biceps,,2,,10-14,,,,,,,7,,,,
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 2,2,,Vertical Pull,,3,,6-8,,,,,,,6,,,,
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 2,2,,Horizontal Row,,3,,10-14,,,,,,,6,,,,
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 2,2,,Quads,,3,,10-14,,,,,,,6,,,,
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 2,2,,Horizontal Push,,3,,10-14,,,,,,,7,,,,
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 2,2,,Delts,,2,,12-16,,,,,,,7,,,,
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 2,2,,Biceps,,2,,12-16,,,,,,,7,,,,
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 2,2,,Triceps,,2,,12-16,,,,,,,7,,,,
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 2,2,,Abs,,2,,10-15,,,,,,,7,,,,
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 2,2,,Hamstrings,,3,,6-8,,,,,,,6,,,,
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 3,3,,Quads,,3,,8-10,,,,,,,6,,,,
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 3,3,,Vertical Push,,3,,12-16,,,,,,,6,,,,
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 3,3,,Horizontal Pull,,3,,12-16,,,,,,,6,,,,
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 3,3,,Glutes,,2,,8-12,,,,,,,7,,,,
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 3,3,,Hamstrings,,2,,10-14,,,,,,,7,,,,
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 3,3,,Delts,,2,,15-20,,,,,,,7,,,,
Female Physique Template,,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,3,Weeks 1-8,,1,Microcycle 1,Weeks 1,1,Day 3,3,,Abs,,2,,15-20,,,,,,,7,,,,
