Program Name,Program Arthur,Program Description,Program Length,Program Level,Program Equipment,Days Per Week,Mesocycle Name,Mesocycle Description,Mesocycle Order,Microcycle Name,Microcycle Description,Microcycle Order,Workout Name,Workout Day,Workout Notes,Exercise Name,Sets,Set Type,Target Repetitions,Target Min Repetitions,Target Max Repetitions,Target Weight (lbs),Target Weight (kg),Weight Increment (lbs),Weight Increment (kg),Target RPE,Target RIR,Percentage of 1RM,Progression Scheme ID,Advanced Exercise Sets
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 1,Monday,Glute Accessory,Seated band abcudction,3,Straight,15-20,15,20,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Barbell Squat,3,Straight,10-12,10,12,N/A,N/A,N/A,N/A,7-8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Barbell Squat,3,Straight,8-10,8,10,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Barbell Squat,3,Straight,6-8,6,8,N/A,N/A,N/A,N/A,8-9,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Barbell Squat,3,Straight,5,5,5,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Romanian Deadlift,3,Straight,10-12,10,12,N/A,N/A,N/A,N/A,7-8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Romanian Deadlift,3,Straight,8-10,8,10,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Romanian Deadlift,3,Straight,6-8,6,8,N/A,N/A,N/A,N/A,8-9,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Romanian Deadlift,3,Straight,5,5,5,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Pull Up U/H,3,AMRAP,AMRAP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Seated Cable Row,3,Straight,10-12,10,12,N/A,N/A,N/A,N/A,7-8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Seated Cable Row,3,Straight,8-10,8,10,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Seated Cable Row,3,Straight,6-8,6,8,N/A,N/A,N/A,N/A,8-9,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Seated Cable Row,3,Straight,5,5,5,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Seated shoulder Press,3,Straight,10-12,10,12,N/A,N/A,N/A,N/A,7-8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Seated shoulder Press,3,Straight,8-10,8,10,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Seated shoulder Press,3,Straight,6-8,6,8,N/A,N/A,N/A,N/A,8-9,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Seated shoulder Press,3,Straight,5,5,5,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Flat DB Press,3,Straight,10-12,10,12,N/A,N/A,N/A,N/A,7-8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Flat DB Press,3,Straight,8-10,8,10,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Flat DB Press,3,Straight,6-8,6,8,N/A,N/A,N/A,N/A,8-9,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Flat DB Press,3,Straight,5,5,5,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,DB Side Raise,3,Straight,12-15,12,15,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,DB Side Raise,3,Straight,10-12,10,12,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,DB Side Raise,3,Straight,8-10,8,10,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,DB Side Raise,3,Straight,8,8,8,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,DB Curl,3,Straight,10-12,10,12,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,DB Curl,3,Straight,8-10,8,10,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,DB Curl,3,Straight,6-8,6,8,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,DB Curl,3,Straight,6,6,6,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Rope Push Down,3,Straight,10-12,10,12,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Rope Push Down,3,Straight,8-10,8,10,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Rope Push Down,3,Straight,6-8,6,8,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,Rope Push Down,3,Straight,6,6,6,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,BB hip thrust,3,Straight,10-12,10,12,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,BB hip thrust,3,Straight,8-10,8,10,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,BB hip thrust,3,Straight,6-8,6,8,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,BB hip thrust,3,Straight,6,6,6,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,N/A,V Sit Up,3,Straight,15-20,15,20,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 2,Tuesday,Glute Accessory,Glute ick Back,3,Straight,15-20,15,20,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 3,Wednesday,N/A,Leg Press,3,Straight,10-12,10,12,N/A,N/A,N/A,N/A,7-8,N/A,N/A,N/A,N/A
