Weekly Schedule,Day,Day of Week,Muscle Group,Exercise,Week,Sets,Reps,Load,RPE
5 Days Per Week,Day 1,Monday,GLUTES (ACCESSORY),Seated band abcudction,1-8,3,15-20,N/A,8
5 Days Per Week,Day 2,Tuesday,QUADS COMPOUND,Barbell Squat,1-2,3,10-12,N/A,7-8
5 Days Per Week,Day 2,Tuesday,QUADS COMPOUND,Barbell Squat,3-4,3,8-10,N/A,8
5 Days Per Week,Day 2,Tuesday,QUADS COMPOUND,Barbell Squat,5-6,3,6-8,N/A,8-9
5 Days Per Week,Day 2,Tuesday,QUADS COMPOUND,Barbell Squat,7-8,3,5,N/A,9
5 Days Per Week,Day 2,Tuesday,HAMSTRINGS COMPOUND,Romanian Deadlift,1-2,3,10-12,N/A,7-8
5 Days Per Week,Day 2,Tuesday,HAMSTRINGS COMPOUND,Romanian Deadlift,3-4,3,8-10,N/A,8
5 Days Per Week,Day 2,Tuesday,HAMSTRINGS COMPOUND,Romanian Deadlift,5-6,3,6-8,N/A,8-9
5 Days Per Week,Day 2,Tuesday,HAMSTRINGS COMPOUND,Romanian Deadlift,7-8,3,5,N/A,9
5 Days Per Week,Day 2,Tuesday,VERTICAL PULL,Pull Up U/H,1-8,3,AMRAP,N/A,N/A
5 Days Per Week,Day 2,Tuesday,HORIZONTAL ROW,Seated Cable Row,1-2,3,10-12,N/A,7-8
5 Days Per Week,Day 2,Tuesday,HORIZONTAL ROW,Seated Cable Row,3-4,3,8-10,N/A,8
5 Days Per Week,Day 2,Tuesday,HORIZONTAL ROW,Seated Cable Row,5-6,3,6-8,N/A,8-9
5 Days Per Week,Day 2,Tuesday,HORIZONTAL ROW,Seated Cable Row,7-8,3,5,N/A,9
5 Days Per Week,Day 2,Tuesday,VERTICAL PUSH,Seated shoulder Press,1-2,3,10-12,N/A,7-8
5 Days Per Week,Day 2,Tuesday,VERTICAL PUSH,Seated shoulder Press,3-4,3,8-10,N/A,8
5 Days Per Week,Day 2,Tuesday,VERTICAL PUSH,Seated shoulder Press,5-6,3,6-8,N/A,8-9
5 Days Per Week,Day 2,Tuesday,VERTICAL PUSH,Seated shoulder Press,7-8,3,5,N/A,9
5 Days Per Week,Day 2,Tuesday,HORIZONTAL PUSH,Flat DB Press,1-2,3,10-12,N/A,7-8
5 Days Per Week,Day 2,Tuesday,HORIZONTAL PUSH,Flat DB Press,3-4,3,8-10,N/A,8
5 Days Per Week,Day 2,Tuesday,HORIZONTAL PUSH,Flat DB Press,5-6,3,6-8,N/A,8-9
5 Days Per Week,Day 2,Tuesday,HORIZONTAL PUSH,Flat DB Press,7-8,3,5,N/A,9
5 Days Per Week,Day 2,Tuesday,DELTS,DB Side Raise,1-2,3,12-15,N/A,8
5 Days Per Week,Day 2,Tuesday,DELTS,DB Side Raise,3-4,3,10-12,N/A,8
5 Days Per Week,Day 2,Tuesday,DELTS,DB Side Raise,5-6,3,8-10,N/A,9
5 Days Per Week,Day 2,Tuesday,DELTS,DB Side Raise,7-8,3,8,N/A,9
5 Days Per Week,Day 2,Tuesday,BICEPS,DB Curl,1-2,3,10-12,N/A,8
5 Days Per Week,Day 2,Tuesday,BICEPS,DB Curl,3-4,3,8-10,N/A,8
5 Days Per Week,Day 2,Tuesday,BICEPS,DB Curl,5-6,3,6-8,N/A,9
5 Days Per Week,Day 2,Tuesday,BICEPS,DB Curl,7-8,3,6,N/A,9
5 Days Per Week,Day 2,Tuesday,TRICEPS,Rope Push Down,1-2,3,10-12,N/A,8
