Block,Week,Day,Workout,Exercise,Sets,Reps,RPE/%1RM,Rest,Notes,LSRPE,Alternate Exercise
Block 1,1,1,LOWER #1,BACK SQUAT,3,5,70%,3MIN,"SIT YOUR HIPS BACK AND DOWN",,SMITH MACHINE SUMO SQUAT
Block 1,1,1,LOWER #1,BARBELL HIP THRUST,3,12-15,8RPE,2MIN,"CHIN AND RIBS TUCKED",,DUMBBELL HIP THRUST
Block 1,1,1,LOWER #1,BARBELL ROMANIAN DEADLIFT,2,10-12,8RPE,2MIN,"KEEP YOUR SPINE NEUTRAL",,DUMBBELL ROMANIAN DEADLIFT
Block 1,1,1,LOWER #1,CABLE STANDING GLUTE KICKBACK,2,12-15,7RPE,1MIN,"FOCUS ON SQUEEZING YOUR GLUTES",,MACHINE GLUTE KICKBACK
Block 1,1,1,LOWER #1,SEATED HIP ABDUCTION MACHINE,2,20-25,8RPE,1MIN,"FOCUS ON SQUEEZING YOUR GLUTES",,ANKLE WEIGHT STANDING HIP ABDUCTION
Block 1,1,1,LOWER #1,BICYCLE CRUNCH,3,15-20,8RPE,1MIN,"DON'T YANK YOUR NECK",,CRUNCH
Block 1,1,2,LOWER #2,DEADLIFT,4,4,75%,4MIN,"BRACE YOUR LATS, HIGH HIPS",,STIFF LEG DEADLIFT
Block 1,1,2,LOWER #2,FRONT SQUAT,3,10-12,8RPE,3MIN,"SIT STRAIGHT DOWN",,GOBLET SQUAT
Block 1,1,2,LOWER #2,KNEE-BANDED BODYWEIGHT HIP THRUST,2,25-30,8RPE,2MIN,"DRIVE YOUR KNEES OUT",,KNEE-BANDED DUMBBELL HIP THRUST
Block 1,1,2,LOWER #2,SEATED LEG CURL,3,10-12,8RPE,2MIN,"FOCUS ON SQUEEZING YOUR HAMSTRINGS",,LYING LEG CURL
Block 1,1,2,LOWER #2,LATERAL BAND WALK,3,20,8RPE,2MIN,"EXTERNALLY ROTATE YOUR HIPS",,CABLE HIP ABDUCTION
Block 1,1,2,LOWER #2,MACHINE SEATED HIP ABDUCTION,3,15,7RPE,2MIN,"EXTERNALLY ROTATE YOUR HIPS",,KNEE-BANDED HIP ABDUCTION
Block 1,1,3,UPPER #1,DUMBBELL STANDING SHOULDER PRESS,4,8-10,8RPE,2MIN,"USE A FULL ROM",,DUMBBELL SEATED SHOULDER PRESS
Block 1,1,3,UPPER #1,NARROW NEUTRAL-GRIP PULLDOWN,4,10-12,8RPE,2MIN,"PULL WITH YOUR ELBOWS AGAINST YOUR SIDES",,SUPINATED PULLDOWN
Block 1,1,3,UPPER #1,CLOSE-GRIP PUSH-UP,3,8-10,7RPE,2MIN,"TUCK YOUR ELBOWS",,MACHINE CHEST PRESS
Block 1,1,3,UPPER #1,CABLE SEATED ROW,3,10-12,8RPE,2MIN,"PULL WITH YOUR ELBOWS OUT",,MACHINE HIGH ROW
Block 1,1,3,UPPER #1,A1: DUMBBELL LATERAL RAISE,3,15,9RPE,0MIN,"FOCUS ON SQUEEZING YOUR DELTS",,MACHINE LATERAL RAISE
