Week,Day,Block,Training Type,Exercise,Sets,Reps,%1RM,RPE,Rest (minutes),Notes,LSRPE
1,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),BACK SQUAT,3,5,"75-80%",8,3.0,"DRIVE THROUGH HEELS, KEEP KNEES OUT IN DIRECTION OF TOES, WIDER STANCE, 15' FOOT FLARE",
1,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),ROMANIAN DEADLIFT,3,6-8,,8,1.5,"SET HIPS BACK UNTIL STRETCH IS FELT IN HAMSTRINGS, THRUST HIPS FORWARD AND SQUEEZE GLUTES HARD AT THE TOP",
1,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),A1. SEATED LEG CURL,3,12-15,,8,0.0,"FULL ROM, SHOULD FEEL STRETCH IN HAMSTRINGS ON ECCENTRIC",
1,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),A2. SWISS BALL LEG CURL,3,12-15,,9,1.5,"KEEP GLUTES ELEVATED, THIGHS IN A ""STRAIGHT LINE"" WITH UPPER BODY, CURL BALL IN TOWARD YOUR GLUTES",
1,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),MACHINE HIP ABDUCTION (GLUTES ELEVATED),3,25-30,,8,1.5,"KEEP GLUTES 2-6 INCHES ELEVATED OFF THE SEAT, USE A FAST TEMPO AND KEEP CONSTANT TENTION-NO REST BETWEEN REPS!",
1,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),LEG RAISE VARIATION (ABS),3,10-12,,8,1.5,"CAN PERFORM HANGING, USING ROMAN CHAIR OR LYING- CHALLENGEYOURSELFI",
1,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),CRUNCH VARIATION (ABS),2,12-15,,8,1.5,"CAN PERFORM USING A CABLE, WEIGHTED OR MACHINE-CHALLENGE YOURSELF!",
1,2,BLOCK 1-ACCUMULATION,UPPER BODY (HYPERTROPHY),SEATED DUMBBELL PRESS,3,10-12,,8,2.0,"KEEP SHOULDER BLADES RETRACTED, STOP RANGE OF MOTION ONCE ELBOWS REACH 90'",
1,2,BLOCK 1-ACCUMULATION,UPPER BODY (HYPERTROPHY),CLOSE GRIP LAT PULLDOWN,3,10-12,,8,2.0,"PULL THROUGH ELBOWS, THINK OF ARMS AS ""CONNECTORS"", TOUCH BAR TO CHEST",
1,2,BLOCK 1-ACCUMULATION,UPPER BODY (HYPERTROPHY),CLOSE GRIP SEATED CABLE ROW,3,12-15,,8,1.5,"DRIVE ELBOWS DOWN FOR LAT FOCUS OVER TRAP FOCUS, PULL TO STOMACH",
