Program Name,Knee Ability Zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program Author,Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program Description,"A program which requires zero weights, zero equipment, and zero special abilities to start.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program Length,12 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program Level,Zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program Equipment,Zero equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Per Week,3 days per week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exercise Name,Sets,Set Type,Target Repetitions,Target Min Repetitions,Target Max Repetitions,Target Weight (lbs),Target Weight (kg),Weight Increment (lbs),Weight Increment (kg),Target RPE,Target RIR,Percentage of 1RM,Progression Scheme ID,Advanced Exercise Sets,Duration,Workout Notes,,,,,,,,,,,,,,,,,
Tibialis Raise,1,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-second pause at the top and bottom of each rep. No break between exercises.
FHL Calf Raise,1,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No break between exercises.
Tibialis Raise (again),1,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-second pause at the top and bottom of each rep. No break between exercises.
KOT Calf Raise,1,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No break between exercises.
Patrick Step,1 to 3 sets per side,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No breaks needed.
ATG Split Squat,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 reps per side. 30 second breaks between each side.
KOT Squat,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Optional. Short breaks, no more than 30 seconds."
Elephant Walk,1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 reps per side. The summary mentions 36 reps per side.
L-Sit,1 to 3 sets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60 seconds per side,1-2 minute breaks if this is a weak point.
Couch Stretch,1 to 3 sets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60 seconds per side,Work at a level you can relax and breathe without pain.
Piriformis Stretch,2 per side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90 seconds per side,Work at a level you can relax and breathe without pain.
