Program Name,Days Per Week,Mesocycle Name,Mesocycle Order,Microcycle Name,Microcycle Order,Workout Name,Workout Day,Workout Notes,Exercise Name,Exercise Order,Exercise Notes,Reps,Target RPE,Target RIR,Rest,Advanced Exercise Sets,Video Link
Novice-Intermediate 4x Full Body,4,Mesocycle 1 Basic Hypertrophy,1,Week 1,1,Horizontal Push,Day 1,,Medium Grip Bench Press,1,,3/fail,,,NA,,https://www.youtube.com/watch?v=IB4SOljqN3M
Novice-Intermediate 4x Full Body,4,Mesocycle 1 Basic Hypertrophy,1,Week 1,1,Vertical Push,Day 1,,Incline Medium Grip Bench Press,1,,3/fail,,,NA,,https://www.youtube.com/watch?v=LGUfh4tc13I
Novice-Intermediate 4x Full Body,4,Mesocycle 1 Basic Hypertrophy,1,Week 1,1,Triceps,Day 1,,Cable Tricep Pushdown,1,,4/fail,,,NA,,https://www.youtube.com/watch?v=EHZ-EmyH0AA
Novice-Intermediate 4x Full Body,4,Mesocycle 1 Basic Hypertrophy,1,Week 1,1,Horizontal Pull,Day 1,,Barbell Bent-Row,1,,3/fail,,,NA,,https://www.youtube.com/watch?v=nMu_CWMVewc
Novice-Intermediate 4x Full Body,4,Mesocycle 1 Basic Hypertrophy,1,Week 1,1,Quads,Day 1,,High Bar Squat,1,,2/fail,,,NA,,https://www.youtube.com/watch?v=thBk5RamieE
Novice-Intermediate 4x Full Body,4,Mesocycle 1 Basic Hypertrophy,1,Week 1,1,Hamstrings,Day 1,,Stiff Legged Deadlift,1,,2/fail,,,NA,,https://www.youtube.com/watch?v=V8Wxzum0Heg
Novice-Intermediate 4x Full Body,4,Mesocycle 1 Basic Hypertrophy,1,Week 1,1,Abs,Day 1,,V-Up,1,,3/fail,,,NA,,https://www.youtube.com/watch?v=8ywlNJEp4bA
Novice-Intermediate 4x Full Body,4,Mesocycle 1 Basic Hypertrophy,1,Week 1,2,Deadlifts and Glute Bridges,Day 2,,Deadlift ,1,,3/fail,,,NA,,https://www.youtube.com/watch?v=wWYRrCVvEcY
Novice-Intermediate 4x Full Body,4,Mesocycle 1 Basic Hypertrophy,1,Week 1,2,Quads,Day 2,,High Bar Squat,1,,3/fail,,,NA,,https://www.youtube.com/watch?v=thBk5RamieE
Novice-Intermediate 4x Full Body,4,Mesocycle 1 Basic Hypertrophy,1,Week 1,2,Quads,Day 2,,High Bar Squat,2,,3/fail,,,NA,,https://www.youtube.com/watch?v=thBk5RamieE
