Mesocycle,Week,Day,Workout Type,Sets,Rep Goal,Notes
Mesocycle 1 Basic Hypertrophy,Week 1,Day 1,Horizontal Push,3,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 1,Vertical Push,3,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 1,Triceps,4,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 1,Horizontal Pull,3,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 1,Quads,2,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 1,Hamstrings,2,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 1,Abs,3,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 2,Deadlifts and Glute Bridges,3,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 2,Quads,3,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 2,Quads,3,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 2,Vertical Push,3,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 2,Vertical Pull,2,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 2,Rear/Medial Delts,2,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 2,Calves,3,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 3,Vertical Pull,3,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 3,Horizontal Pull,3,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 3,Rear/Medial Delts,3,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 3,Biceps,4,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 3,Hamstrings,2,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 3,Horizontal Push,2,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 3,Abs,3,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 4,Quads,2,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 4,Deadlifts and Glute Bridges,2,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 4,Hamstrings,2,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 4,Vertical Push,2,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 4,Chest Isolation,2,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 4,Vertical Pull,2,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 4,Rear/Medial Delts,2,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 1,Day 4,Calves,3,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 2,Day 1,Horizontal Push,3,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 2,Day 1,Vertical Push,3,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 2,Day 1,Triceps,4,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 2,Day 1,Horizontal Pull,3,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 2,Day 1,Quads,2,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 2,Day 1,Hamstrings,2,3/fail,
Mesocycle 1 Basic Hypertrophy,Week 2,Day 1,Abs,3,3/fail,
