Program Name;Program Arthur;Program Description;Program Length;Program Level;Program Equipment;Days Per Week;Mesocycle Name;Mesocycle Description;Mesocycle Order;Microcycle Name;Microcycle Description;Microcycle Order;Workout Name;Workout Day;Workout Notes;Exercise Name;Exercise Order;Sets;Set Type;Target Repetitions;Target Min Repetitions;Target Max Repetitions;Target Weight (lbs);Target Weight (kg);Weight Increment (lbs);Weight Increment (kg);Target RPE;Target RIR;Percentage of 1RM;Progression Scheme ID;Advanced Exercise Sets
Strong & Sculpted;Brad Schoenfeld;A strength and hypertrophy program by Brad Schoenfeld.;4 weeks;Intermediate/Advanced;;;;Break-In Phase;;1;Week 1;1;Day 1;1;;Dumbbell Chest Press;1;4;;10;10;15;;;;;;4;;;
Strong & Sculpted;Brad Schoenfeld;A strength and hypertrophy program by Brad Schoenfeld.;4 weeks;Intermediate/Advanced;;;;Break-In Phase;;1;Week 1;1;Day 1;1;;Dumbbell Single-Arm Row;2;4;;10;10;15;;;;;;4;;;
Strong & Sculpted;Brad Schoenfeld;A strength and hypertrophy program by Brad Schoenfeld.;4 weeks;Intermediate/Advanced;;;;Break-In Phase;;1;Week 1;1;Day 1;1;;Military Press;3;4;;10;10;15;;;;;;4;;;
Strong & Sculpted;Brad Schoenfeld;A strength and hypertrophy program by Brad Schoenfeld.;4 weeks;Intermediate/Advanced;;;;Break-In Phase;;1;Week 1;1;Day 1;1;;Barbell Back Squat;4;4;;10;10;15;;;;;;4;;;
Strong & Sculpted;Brad Schoenfeld;A strength and hypertrophy program by Brad Schoenfeld.;4 weeks;Intermediate/Advanced;;;;Break-In Phase;;1;Week 1;1;Day 1;1;;Dumbbell Lunge;5;4;;10;10;15;;;;;;4;;;
Strong & Sculpted;Brad Schoenfeld;A strength and hypertrophy program by Brad Schoenfeld.;4 weeks;Intermediate/Advanced;;;;Break-In Phase;;1;Week 1;1;Day 1;1;;Dumbbell Stiff-Leg Deadlift;6;4;;10;10;15;;;;;;4;;;
Strong & Sculpted;Brad Schoenfeld;A strength and hypertrophy program by Brad Schoenfeld.;4 weeks;Intermediate/Advanced;;;;Break-In Phase;;1;Week 1;1;Day 2;2;;Dumbbell Chest Press;1;4;;10;10;15;;;;;;4;;;
Strong & Sculpted;Brad Schoenfeld;A strength and hypertrophy program by Brad Schoenfeld.;4 weeks;Intermediate/Advanced;;;;Break-In Phase;;1;Week 1;1;Day 2;2;;Dumbbell Single-Arm Row;2;4;;10;10;15;;;;;;4;;;
Strong & Sculpted;Brad Schoenfeld;A strength and hypertrophy program by Brad Schoenfeld.;4 weeks;Intermediate/Advanced;;;;Break-In Phase;;1;Week 1;1;Day 2;2;;Military Press;3;4;;10;10;15;;;;;;4;;;
Strong & Sculpted;Brad Schoenfeld;A strength and hypertrophy program by Brad Schoenfeld.;4 weeks;Intermediate/Advanced;;;;Break-In Phase;;1;Week 1;1;Day 2;2;;Barbell Back Squat;4;4;;10;10;15;;;;;;4;;;
