Program Name,Program Arthur,Program Description,Program Length,Program Level,Program Equipment,Days Per Week,Mesocycle Name,Mesocycle Description,Mesocycle Order,Microcycle Name,Microcycle Description,Microcycle Order,Workout Name,Workout Day,Workout Notes,Exercise Name,Exercise Order,Sets,Set Type,Target Repetitions,Target Min Repetitions,Target Max Repetitions,Target Weight (lbs),Target Weight (kg),Weight Increment (lbs),Weight Increment (kg),Target RPE,Target RIR,Percentage of 1RM,Progression Scheme ID,Advanced Exercise Sets
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 1,,1,Day 1 (heavy),1,,Dumbbell chest press,1,4,,3,3,5,,,,,,"2, 2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 1,,1,Day 1 (heavy),1,,Dumbbell single-arm row,2,4,,3,3,5,,,,,,"2, 2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 1,,1,Day 1 (heavy),1,,Military press,3,4,,3,3,5,,,,,,"2, 2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 1,,1,Day 1 (heavy),1,,Barbell back squat,4,4,,3,3,5,,,,,,"2, 2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 1,,1,Day 1 (heavy),1,,Barbell hip thrust,5,4,,3,3,5,,,,,,"2, 2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 1,,1,Day 1 (heavy),1,,Barbell stiff-leg deadlift,6,4,,3,3,5,,,,,,"2, 2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 1,,1,Day 2 (moderate),2,,Barbell incline press,1,3,,8,8,12,,,,,,"2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 1,,1,Day 2 (moderate),2,,Neutral-grip lat pull-down,2,3,,8,8,12,,,,,,"2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 1,,1,Day 2 (moderate),2,,Cable upright row,3,3,,8,8,12,,,,,,"2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 1,,1,Day 2 (moderate),2,,Dumbbell incline biceps curl,4,2,,8,8,12,,,,,,"2, 1",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 1,,1,Day 2 (moderate),2,,Cable rope overhead triceps extension,5,2,,8,8,12,,,,,,"2, 1",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 1,,1,Day 2 (moderate),2,,Leg press,6,3,,8,8,12,,,,,,"2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 1,,1,Day 2 (moderate),2,,Machine seated leg curl,7,3,,8,8,12,,,,,,"2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 1,,1,Day 2 (moderate),2,,Dumbbell standing calf raise,8,2,,8,8,12,,,,,,"2, 1",,,
