Program Name,Program Arthur,Program Description,Program Length,Program Level,Program Equipment,Days Per Week,Mesocycle Name,Mesocycle Description,Mesocycle Order,Microcycle Name,Microcycle Description,Microcycle Order,Workout Name,Workout Day,Workout Notes,Exercise Name,Sets,Set Type,Target Repetitions,Target Min Repetitions,Target Max Repetitions,Target Weight (lbs),Target Weight (kg),Weight Increment (lbs),Weight Increment (kg),Target RPE,Target RIR,Percentage of 1RM,Progression Scheme ID,Advanced Exercise Sets
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,"Peak Physique Phase - Week 1 - Monday/Friday (back, chest, abs)","Monday/Friday (back, chest, abs)",,Reverse-grip lat pull-down,4,,10,10,12,,,,,,"1, 1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,"Peak Physique Phase - Week 1 - Monday/Friday (back, chest, abs)","Monday/Friday (back, chest, abs)",,Machine seated row,4,,10,10,12,,,,,,"1, 1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,"Peak Physique Phase - Week 1 - Monday/Friday (back, chest, abs)","Monday/Friday (back, chest, abs)",,Dumbbell pullover,3,,10,10,12,,,,,,"1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,"Peak Physique Phase - Week 1 - Monday/Friday (back, chest, abs)","Monday/Friday (back, chest, abs)",,Dumbbell incline press,4,,10,10,12,,,,,,"1, 1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,"Peak Physique Phase - Week 1 - Monday/Friday (back, chest, abs)","Monday/Friday (back, chest, abs)",,Barbell decline press,3,,10,10,12,,,,,,"1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,"Peak Physique Phase - Week 1 - Monday/Friday (back, chest, abs)","Monday/Friday (back, chest, abs)",,Mid cable fly,3,,10,10,12,,,,,,"1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,"Peak Physique Phase - Week 1 - Monday/Friday (back, chest, abs)","Monday/Friday (back, chest, abs)",,Hanging knee raise,3,,10,10,12,,,,,,"1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,"Peak Physique Phase - Week 1 - Monday/Friday (back, chest, abs)","Monday/Friday (back, chest, abs)",,Bicycle crunch,3,,10,10,12,,,,,,"1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,Peak Physique Phase - Week 1 - Tuesday/Saturday (lower body),Tuesday/Saturday (lower body),,Barbell front squat,4,,10,10,12,,,,,,"1, 1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,Peak Physique Phase - Week 1 - Tuesday/Saturday (lower body),Tuesday/Saturday (lower body),,Dumbbell side lunge,4,,10,10,12,,,,,,"1, 1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,Peak Physique Phase - Week 1 - Tuesday/Saturday (lower body),Tuesday/Saturday (lower body),,Sissy squat,3,,10,10,12,,,,,,"1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,Peak Physique Phase - Week 1 - Tuesday/Saturday (lower body),Tuesday/Saturday (lower body),,Good morning,4,,10,10,12,,,,,,"1, 1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,Peak Physique Phase - Week 1 - Tuesday/Saturday (lower body),Tuesday/Saturday (lower body),,Stability ball leg curl,4,,10,10,12,,,,,,"1, 1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,Peak Physique Phase - Week 1 - Tuesday/Saturday (lower body),Tuesday/Saturday (lower body),,Dumbbell single-leg standing calf raise,4,,10,10,12,,,,,,"1, 1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,Peak Physique Phase - Week 1 - Tuesday/Saturday (lower body),Tuesday/Saturday (lower body),,Machine seated calf raise,3,,10,10,12,,,,,,"1, 1, 0",,,
