Program Name,Program Arthur,Program Description,Program Length,Program Level,Program Equipment,Days Per Week,Mesocycle Name,Mesocycle Description,Mesocycle Order,Microcycle Name,Microcycle Description,Microcycle Order,Workout Name,Workout Day,Workout Notes,Exercise Name,Exercise Order,Sets,Set Type,Target Repetitions,Target Min Repetitions,Target Max Repetitions,Target Weight (lbs),Target Weight (kg),Weight Increment (lbs),Weight Increment (kg),Target RPE,Target RIR,Percentage of 1RM,Progression Scheme ID,Advanced Exercise Sets
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,"Day 1 (Back, Chest, Abs)",1,,Reverse-Grip Lat Pull-Down,1,4,,10,10,12,,,,,,"1, 1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,"Day 1 (Back, Chest, Abs)",1,,Machine Seated Row,2,4,,10,10,12,,,,,,"1, 1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,"Day 1 (Back, Chest, Abs)",1,,Dumbbell Pullover,3,3,,10,10,12,,,,,,"1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,"Day 1 (Back, Chest, Abs)",1,,Dumbbell Incline Press,4,4,,10,10,12,,,,,,"1, 1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,"Day 1 (Back, Chest, Abs)",1,,Barbell Decline Press,5,3,,10,10,12,,,,,,"1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,"Day 1 (Back, Chest, Abs)",1,,Mid Cable Fly,6,3,,10,10,12,,,,,,"1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,"Day 1 (Back, Chest, Abs)",1,,Hanging Knee Raise,7,3,,10,10,12,,,,,,"1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,"Day 1 (Back, Chest, Abs)",1,,Bicycle Crunch,8,3,,10,10,12,,,,,,"1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,Day 2 (Lower Body),2,,Barbell Front Squat,1,4,,10,10,12,,,,,,"1, 1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,Day 2 (Lower Body),2,,Dumbbell Side Lunge,2,4,,10,10,12,,,,,,"1, 1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,Day 2 (Lower Body),2,,Sissy Squat,3,3,,10,10,12,,,,,,"1, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Peak Physique Phase,,4,Week 1,,1,Day 2 (Lower Body),2,,Good Morning,4,4,,10,10,12,,,,,,"1, 1, 1, 0",,,
