Program Name,Program Arthur,Program Description,Program Length,Program Level,Program Equipment,Days Per Week,Mesocycle Name,Mesocycle Description,Mesocycle Order,Microcycle Name,Microcycle Description,Microcycle Order,Workout Name,Workout Day,Workout Note,Superset,Exercise Name,Exercise Description,Sets,Set Type,Target Repetitions,Target Min Repetitions,Target Max Repetitions,Target Weight (lbs),Target Weight (kg),Weight Increment (lbs),Weight Increment (kg),Target RPE,Target RIR,Percentage of 1RM,Progression Scheme ID,Advanced Exercise Sets
Best Butt Bodyweight/At Home,,12-week program using only bodyweight and at-home equipment.,12 weeks,Bodyweight,"Bodyweight, Bands, Swiss Ball, Dowel",3,Weeks 1-4,,1,Week 1,,1,Workout A,1,,A2,Bodyweight glute bridge,,3,Normal,10,10,20,,,,,,,,,
Best Butt Bodyweight/At Home,,12-week program using only bodyweight and at-home equipment.,12 weeks,Bodyweight,"Bodyweight, Bands, Swiss Ball, Dowel",3,Weeks 1-4,,1,Week 1,,1,Workout A,1,,A1,Bodyweight modified inverted row,,3,Normal,8,8,12,,,,,,,,,
Best Butt Bodyweight/At Home,,12-week program using only bodyweight and at-home equipment.,12 weeks,Bodyweight,"Bodyweight, Bands, Swiss Ball, Dowel",3,Weeks 1-4,,1,Week 1,,1,Workout A,1,,B2,Bodyweight box squat,,3,Normal,10,10,20,,,,,,,,,
Best Butt Bodyweight/At Home,,12-week program using only bodyweight and at-home equipment.,12 weeks,Bodyweight,"Bodyweight, Bands, Swiss Ball, Dowel",3,Weeks 1-4,,1,Week 1,,1,Workout A,1,,B1,Bodyweight torso-inclined push-up,,3,Normal,8,8,12,,,,,,,,,
Best Butt Bodyweight/At Home,,12-week program using only bodyweight and at-home equipment.,12 weeks,Bodyweight,"Bodyweight, Bands, Swiss Ball, Dowel",3,Weeks 1-4,,1,Week 1,,1,Workout A,1,,,Bodyweight hip hinge with dowel,,3,Normal,10,10,20,,,,,,,,,
Best Butt Bodyweight/At Home,,12-week program using only bodyweight and at-home equipment.,12 weeks,Bodyweight,"Bodyweight, Bands, Swiss Ball, Dowel",3,Weeks 1-4,,1,Week 1,,1,Workout A,1,,,Side lying abduction,,1,Normal,10,10,30,,,,,,,,,
Best Butt Bodyweight/At Home,,12-week program using only bodyweight and at-home equipment.,12 weeks,Bodyweight,"Bodyweight, Bands, Swiss Ball, Dowel",3,Weeks 1-4,,1,Week 1,,1,Workout A,1,,,Front plank,Hold for 30-120 seconds,1,Normal,,,,,,,,,,,,
Best Butt Bodyweight/At Home,,12-week program using only bodyweight and at-home equipment.,12 weeks,Bodyweight,"Bodyweight, Bands, Swiss Ball, Dowel",3,Weeks 1-4,,1,Week 1,,1,Workout A,1,,,Side plank from knees,Hold for 20-60 seconds,1,Normal,,,,,,,,,,,,
Best Butt Bodyweight/At Home,,12-week program using only bodyweight and at-home equipment.,12 weeks,Bodyweight,"Bodyweight, Bands, Swiss Ball, Dowel",3,Weeks 1-4,,1,Week 1,,1,Workout B,Day B,,A2,Bodyweight foot elevated single-leg glute bridge,,3,Normal,10,10,20,,,,,,,,,
Best Butt Bodyweight/At Home,,12-week program using only bodyweight and at-home equipment.,12 weeks,Bodyweight,"Bodyweight, Bands, Swiss Ball, Dowel",3,Weeks 1-4,,1,Week 1,,1,Workout B,Day B,,A1,Bodyweight chin-up (negative),,3,Normal,1,1,3,,,,,,,,,
Best Butt Bodyweight/At Home,,12-week program using only bodyweight and at-home equipment.,12 weeks,Bodyweight,"Bodyweight, Bands, Swiss Ball, Dowel",3,Weeks 1-4,,1,Week 1,,1,Workout B,Day B,,B2,Bodyweight step up,,3,Normal,10,10,20,,,,,,,,,
Best Butt Bodyweight/At Home,,12-week program using only bodyweight and at-home equipment.,12 weeks,Bodyweight,"Bodyweight, Bands, Swiss Ball, Dowel",3,Weeks 1-4,,1,Week 1,,1,Workout B,Day B,,B1,Bodyweight knee push-up,,3,Normal,5,5,15,,,,,,,,,
Best Butt Bodyweight/At Home,,12-week program using only bodyweight and at-home equipment.,12 weeks,Bodyweight,"Bodyweight, Bands, Swiss Ball, Dowel",3,Weeks 1-4,,1,Week 1,,1,Workout B,Day B,,,Bodyweight Swiss ball 45-degree back extension,,3,Normal,10,10,20,,,,,,,,,
Best Butt Bodyweight/At Home,,12-week program using only bodyweight and at-home equipment.,12 weeks,Bodyweight,"Bodyweight, Bands, Swiss Ball, Dowel",3,Weeks 1-4,,1,Week 1,,1,Workout B,Day B,,,Side lying clam,,1,Normal,20,20,30,,,,,,,,,
