Program Name,Program Arthur,Program Description,Program Length,Program Level,Program Equipment,Days Per Week,Mesocycle Name,Mesocycle Description,Mesocycle Order,Microcycle Name,Microcycle Description,Microcycle Order,Workout Name,Workout Day,Workout Note,Superset,Exercise Name,Exercise Description,Sets,Set Type,Target Repetitions,Target Min Repetitions,Target Max Repetitions,Target Weight (lbs),Target Weight (kg),Weight Increment (lbs),Weight Increment (kg),Target RPE,Target RIR,Percentage of 1RM,Progression Scheme ID,Advanced Exercise Sets
Booty-ful Beginnings,,12-week program for beginners.,12 weeks,Beginner,"Barbell, Dumbbell, Bodyweight, Cable, Kettlebell, Bands, Swiss Ball",3,Weeks 1-4,,1,Week 1,,1,Workout A,1,,A1,Bodyweight glute bridge,,3,Normal,10,10,20,,,,,,,,,
Booty-ful Beginnings,,12-week program for beginners.,12 weeks,Beginner,"Barbell, Dumbbell, Bodyweight, Cable, Kettlebell, Bands, Swiss Ball",3,Weeks 1-4,,1,Week 1,,1,Workout A,1,,A2,One arm dumbbell row,,3,Normal,8,8,12,,,,,,,,,
Booty-ful Beginnings,,12-week program for beginners.,12 weeks,Beginner,"Barbell, Dumbbell, Bodyweight, Cable, Kettlebell, Bands, Swiss Ball",3,Weeks 1-4,,1,Week 1,,1,Workout A,1,,B1,Bodyweight box squat,,3,Normal,10,10,20,,,,,,,,,
Booty-ful Beginnings,,12-week program for beginners.,12 weeks,Beginner,"Barbell, Dumbbell, Bodyweight, Cable, Kettlebell, Bands, Swiss Ball",3,Weeks 1-4,,1,Week 1,,1,Workout A,1,,B2,Barbell bench press,,3,Normal,8,8,12,,,,,,,,,
Booty-ful Beginnings,,12-week program for beginners.,12 weeks,Beginner,"Barbell, Dumbbell, Bodyweight, Cable, Kettlebell, Bands, Swiss Ball",3,Weeks 1-4,,1,Week 1,,1,Workout A,1,,,Dumbbell Romanian deadlift,,3,Normal,10,10,20,,,,,,,,,
Booty-ful Beginnings,,12-week program for beginners.,12 weeks,Beginner,"Barbell, Dumbbell, Bodyweight, Cable, Kettlebell, Bands, Swiss Ball",3,Weeks 1-4,,1,Week 1,,1,Workout A,1,,,Side lying abduction,,1,Normal,15,15,30,,,,,,,,,
Booty-ful Beginnings,,12-week program for beginners.,12 weeks,Beginner,"Barbell, Dumbbell, Bodyweight, Cable, Kettlebell, Bands, Swiss Ball",3,Weeks 1-4,,1,Week 1,,1,Workout A,1,,,Front plank,,1,Normal,20,20,120,,,,,,,,,
Booty-ful Beginnings,,12-week program for beginners.,12 weeks,Beginner,"Barbell, Dumbbell, Bodyweight, Cable, Kettlebell, Bands, Swiss Ball",3,Weeks 1-4,,1,Week 1,,1,Workout A,1,,,Side plank from knees,,1,Normal,20,20,60,,,,,,,,,
Booty-ful Beginnings,,12-week program for beginners.,12 weeks,Beginner,"Barbell, Dumbbell, Bodyweight, Cable, Kettlebell, Bands, Swiss Ball",3,Weeks 1-4,,1,Week 1,,1,Workout B,2,,A1,Bodyweight foot elevated single-leg glute bridge,,3,Normal,10,10,20,,,,,,,,,
Booty-ful Beginnings,,12-week program for beginners.,12 weeks,Beginner,"Barbell, Dumbbell, Bodyweight, Cable, Kettlebell, Bands, Swiss Ball",3,Weeks 1-4,,1,Week 1,,1,Workout B,2,,A2,Front lat pulldown,,3,Normal,8,8,12,,,,,,,,,
Booty-ful Beginnings,,12-week program for beginners.,12 weeks,Beginner,"Barbell, Dumbbell, Bodyweight, Cable, Kettlebell, Bands, Swiss Ball",3,Weeks 1-4,,1,Week 1,,1,Workout B,2,,B1,Bodyweight step up,,3,Normal,10,10,20,,,,,,,,,
